"year","sector","grupo","value"
1999,"No metaliferos","Baritina",155.275314
1999,"No metaliferos","Bentonita",310.745248
1999,"No metaliferos","Boratos",1015.208105
1999,"No metaliferos","Caolín",1562.392789
1999,"No metaliferos","Creta",128.933212
1999,"No metaliferos","Cuarzo",75.73883
1999,"No metaliferos","Diatomitas",133.20154
1999,"No metaliferos","Feldespato",234.49911
1999,"No metaliferos","Fluorita",332.220638
1999,"No metaliferos","Fosfatos",1801.815234
1999,"No metaliferos","Grafito",169.429157
1999,"No metaliferos","Litio",300.0389
1999,"No metaliferos","Magnesio",940.834066
1999,"No metaliferos","Materias minerales activadas (diatomita, arcillas, bauxita, etc.)",325.815651
1999,"No metaliferos","Mica",75.575245
1999,"No metaliferos","Mullita",33.55847
1999,"No metaliferos","Oxidos de hierro",627.494494
1999,"No metaliferos","Potasio",4183.80002
1999,"No metaliferos","Sal",1239.324819
1999,"No metaliferos","Sulfatos",547.054788
1999,"No metaliferos","Sulfatos de magnesio",67.851784
1999,"No metaliferos","Talco",378.163385
1999,"No metaliferos","Tierras Colorantes",17.701432
1999,"No metaliferos","Turba",576.588542
1999,"No metaliferos","Vermiculita y perlita",125.665849
1999,"No metaliferos","Witherita",4.762839
1999,"No metaliferos","Yesos",653.195962
1999,"Piedras preciosas y/o semipreciosas","Piedras preciosas o semipreciosas",970.951041
1999,"Rocas de aplicacion","Adoquines, encintados y losas para pavimentos, de piedra natural (excepto la pizarra)",334.860258
1999,"Rocas de aplicacion","Arcillas Dilatadas",128.725631
1999,"Rocas de aplicacion","Arenisca",25.188261
1999,"Rocas de aplicacion","Cales",297.936502
1999,"Rocas de aplicacion","Caliza",438.954963
1999,"Rocas de aplicacion","Cantos rodados y Triturados pétreos",637.088338
1999,"Rocas de aplicacion","Cementos",5376.776187
1999,"Rocas de aplicacion","Cuarcita",34.452313
1999,"Rocas de aplicacion","Demas minerales n.c.p (incluye arenas de circonio, espomudeno y tierras colorantes)",714.437224
1999,"Rocas de aplicacion","Demás piedras de talla o constucción",112.329773
1999,"Rocas de aplicacion","Dolomita",216.164464
1999,"Rocas de aplicacion","Granito",3288.843582
1999,"Rocas de aplicacion","Granulos,tasquiles y polvo de mármol y arenisca",195.064439
1999,"Rocas de aplicacion","Lanas de escoria de rocas y lanas de minerales",672.631256
1999,"Rocas de aplicacion","Las demás piedras de talla o de construcción (incluye bolas de piedra para molinos y las demás manufacturas de las demás piedras)",291.942142
1999,"Rocas de aplicacion","Losetas, cubos, dados y artículos similares, incluso en forma distinta a la cuadrada o rectangular",91.364803
1999,"Rocas de aplicacion","Mármoles",1729.36047
1999,"Rocas de aplicacion","Mármoles y travertinos",520.929078
1999,"Rocas de aplicacion","Piedra pómez",40.974165
1999,"Rocas de aplicacion","Piedras talladas o aserradas",85.710422
1999,"Rocas de aplicacion","Pizarra",486.247835
1999,"Rocas de aplicacion","Triturados pétreos",49.122893
2000,"Combustibles","Hullas",4068.913717
2000,"Metaliferos","Aluminio",6842.714449
2000,"Metaliferos","Aluminio y bauxita",1314.72346
2000,"Metaliferos","Antimonio",137.149885
2000,"Metaliferos","Arenas de escorias de siderurgia",219.680067
2000,"Metaliferos","Berilio",3.747855
2000,"Metaliferos","Bismuto",196.601755
2000,"Metaliferos","Cadmio",10.646876
2000,"Metaliferos","Cenizas y residuos",1666.893638
2000,"Metaliferos","Cinc",8184.448179
2000,"Metaliferos","Circonio",398.914247
2000,"Metaliferos","Cobalto",1640.769152
2000,"Metaliferos","Cobre",25587.521977
2000,"Metaliferos","Cromo",549.290682
2000,"Metaliferos","Demás desperdicios metalicos",231.790655
2000,"Metaliferos","Estaño",1868.487723
2000,"Metaliferos","Ferroaleaciones",8536.81457
2000,"Metaliferos","Hierro",12809.318156
2000,"Metaliferos","Magnesio",968.894376
2000,"Metaliferos","Manganeso",906.86659
2000,"Metaliferos","Min.y Conc, de metales preciosos",935.932974
2000,"Metaliferos","Molibdeno",700.912475
2000,"Metaliferos","Níquel",9735.354453
2000,"Metaliferos","Oro",27986.894582
2000,"Metaliferos","Plata",4102.112845
2000,"Metaliferos","Plomo",2340.847558
2000,"Metaliferos","Talio",215.504055
2000,"Metaliferos","Tantalio",657.128162
2000,"Metaliferos","Titanio",1425.992835
2000,"Metaliferos","Torio",24.007832
2000,"Metaliferos","Uranio",112.181865
2000,"Metaliferos","Vanadio",224.855639
2000,"Metaliferos","Volframio",191.182468
2000,"No metaliferos","Abrasivos naturales",0.205354
2000,"No metaliferos","Amianto (asbesto, incluye crocidolita)",360.339282
2000,"No metaliferos","Arcillas",552.282876
2000,"No metaliferos","Arenas",865.042494
2000,"No metaliferos","Asfaltita",588.015553
2000,"No metaliferos","Azufre",966.828069
2000,"No metaliferos","Baritina",181.876816
2000,"No metaliferos","Bentonita",317.176843
2000,"No metaliferos","Boratos",947.647859
2000,"No metaliferos","Caolín",1663.975839
2000,"No metaliferos","Creta",116.342596
2000,"No metaliferos","Cuarzo",65.631818
2000,"No metaliferos","Diatomitas",122.715046
2000,"No metaliferos","Feldespato",243.676199
2000,"No metaliferos","Fluorita",332.708193
2000,"No metaliferos","Fosfatos",1607.016985
2000,"No metaliferos","Grafito",187.264227
2000,"No metaliferos","Litio",339.779567
2000,"No metaliferos","Magnesio",1000.081916
2000,"No metaliferos","Materias minerales activadas (diatomita, arcillas, bauxita, etc.)",312.627285
2000,"No metaliferos","Mica",76.004611
2000,"No metaliferos","Mullita",39.338084
2000,"No metaliferos","Oxidos de hierro",671.745027
2000,"No metaliferos","Potasio",4212.310922
2000,"No metaliferos","Sal",1152.902521
2000,"No metaliferos","Sulfatos",510.543037
2000,"No metaliferos","Sulfatos de magnesio",63.287954
2000,"No metaliferos","Talco",386.832277
2000,"No metaliferos","Tierras Colorantes",20.997588
2000,"No metaliferos","Turba",552.755113
2000,"No metaliferos","Vermiculita y perlita",121.097494
2000,"No metaliferos","Witherita",5.760587
2000,"No metaliferos","Yesos",582.946088
2000,"Piedras preciosas y/o semipreciosas","Piedras preciosas o semipreciosas",1072.535338
2000,"Rocas de aplicacion","Adoquines, encintados y losas para pavimentos, de piedra natural (excepto la pizarra)",406.819084
2000,"Rocas de aplicacion","Arcillas Dilatadas",126.818396
2000,"Rocas de aplicacion","Arenisca",25.081206
2000,"Rocas de aplicacion","Cales",274.35165
2000,"Rocas de aplicacion","Caliza",454.709516
2000,"Rocas de aplicacion","Cantos rodados y Triturados pétreos",638.838058
2000,"Rocas de aplicacion","Cementos",5182.788363
2000,"Rocas de aplicacion","Cuarcita",36.203476
2000,"Rocas de aplicacion","Demas minerales n.c.p (incluye arenas de circonio, espomudeno y tierras colorantes)",679.464388
2000,"Rocas de aplicacion","Demás piedras de talla o constucción",138.97512
